Combination	AUC
GWAS&H3K27me3&H3K4me3&H3K36me3&placode&neural_crest	0.948720054
GWAS&H3K27me3&H3K36me3&epidermal	0.947377041
GWAS&non_neuroectoderm&epidermal&placode&neural_crest	0.941716734
GWAS&H3K4me3&H3K36me3&placode&neural_crest	0.940927772
GWAS&H3K4me2&H3K36me3&placode&neural_crest	0.940913949
GWAS&H3K36me3&epidermal	0.940409034
GWAS&H3K27me3&H3K4me1&H3K4me3&H3K36me3&neural_crest	0.939610545
GWAS&H3K36me3&epidermal&placode	0.938209273
GWAS&H3K4me1&H3K4me3&H3K36me3&neural_crest	0.936973531
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3&placode&neural_crest	0.936931893
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K4me3	0.936013371
GWAS&H3K27ac&H3K27me3&H3K36me3&epidermal&placode&neural_crest	0.935811699
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3&H3K36me3&placode&neural_crest	0.935556698
GWAS&H3K36me3&placode	0.934852177
GWAS&H3K27me3&H3K4me3&H3K36me3&epidermal&placode&neural_crest	0.934684128
GWAS&H3K27me3&H3K4me1&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&neural_crest	0.933941803
GWAS&H3K27me3&H3K36me3&epidermal&placode&neural_crest	0.933563854
GWAS&H3K27me3&H3K4me2&epidermal&placode&neural_crest	0.9333811
GWAS&H3K4me2&H3K36me3&epidermal&placode&neural_crest	0.933075733
GWAS&H3K4me3&H3K36me3&epidermal	0.932924043
GWAS&H3K27me3&non_neuroectoderm&epidermal&placode&neural_crest	0.932877148
GWAS&H3K27me3&H3K4me1&H3K4me2&H3K4me3&non_neuroectoderm&neural_crest	0.932718737
GWAS&H3K4me1&H3K4me3&H3K36me3&placode&neural_crest	0.932713648
GWAS&H3K4me3&non_neuroectoderm&epidermal&placode&neural_crest	0.931735495
GWAS&H3K27ac&H3K4me1&H3K4me3&H3K36me3&non_neuroectoderm&neural_crest	0.931723285
GWAS&H3K27me3&H3K36me3&epidermal&placode	0.931662331
GWAS&H3K27me3&H3K4me3&epidermal&placode	0.931649583
GWAS&H3K27ac&H3K27me3&H3K36me3&placode&neural_crest	0.931634192
GWAS&H3K27me3&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&neural_crest	0.931552361
GWAS&H3K27me3&H3K4me3&epidermal	0.931367077
GWAS&H3K27ac&H3K4me2&H3K36me3&non_neuroectoderm&placode&neural_crest	0.930491556
GWAS&H3K27ac&H3K4me1&H3K4me2&non_neuroectoderm&placode&neural_crest	0.929755951
GWAS&H3K27ac&H3K27me3&H3K4me3&H3K36me3&placode&neural_crest	0.929708031
GWAS&H3K27me3&H3K4me1&H3K4me2&H3K4me3&neural_crest	0.929674742
GWAS&H3K27ac&H3K36me3&epidermal	0.929351247
GWAS&H3K4me3&H3K36me3&epidermal&placode&neural_crest	0.929304805
GWAS&H3K27me3&H3K4me1&H3K4me2&H3K4me3&H3K36me3&neural_crest	0.928932933
GWAS&H3K27me3&H3K4me1&H3K36me3&placode&neural_crest	0.92843892
GWAS&H3K27me3&H3K36me3&placode&neural_crest	0.928330544
GWAS&H3K4me3&H3K36me3&epidermal&neural_crest	0.928317194
